STEPS,U-CORRELATEDQ
53086,0.132972121575676
53113,0.115496191087445
53119,0.100357113379836
53200,0.0870994533543232
53275,0.0756150054685634
53344,0.0656628541676412
53354,0.0570838487884835
53357,0.0496324624862616
53430,0.307306505906293
53625,0.266418598359078
53952,0.447163272723802
54132,0.388236232510156
54211,0.337771974421976
54390,0.293443693963379
54397,0.255758139003159
54451,0.222745096153261
54464,0.194148411337704
54545,0.16904024909056
54672,0.14709656277914
54676,0.128298771643912
54740,0.289853589625668
54764,0.25277078415434
54942,0.219886816868179
55179,0.191174120546389
55190,0.166927256496415
55196,0.145771567394789
55254,0.127189269648554
55348,0.110924797345483
55377,0.248862518817283
55719,0.216206148844115
55783,0.188861464757132
55808,0.165108147247309
55849,0.144312256849837
56036,0.125839187103459
56041,0.110115866326062
56105,0.0962627020568476
56114,0.0842431572809659
56262,0.462835179755579
56810,0.863847244741237
56851,0.756849862783664
56857,0.663566286688724
57032,0.580111153284932
57051,0.508718244065012
57062,0.446192847577965
57093,0.391228581402345
57116,0.343107487331711
57178,0.300720633917045
57204,0.26377195685496
57306,0.0138621425702077
57311,0.0121670480930334
57342,0.0106745869815512
57361,0.00936782402439107
57384,0.00822083938683704
57429,0.00721195251166407
57514,0.219530296042596
57586,0.192558616192454
57624,0.278380122255403
57656,0.244410881467473
57795,0.214205684722376
57802,0.188225515647026
58071,0.164647616153612
58152,0.144586873342377
58208,0.127050126691223
58245,0.111692297885824
58285,0.0981944099889311
58416,0.0861984632303923
58550,0.075687294805558
58672,0.0664928159183695
58822,0.0584031659471833
59053,0.14958999028887
59164,0.307536406938336
59197,0.270994903574358
59324,0.176127613185578
59335,0.155319827077093
59348,0.136968985103291
59460,0.12057705835527
59561,0.106195622371004
59677,0.454491122457814
59709,0.400982762700821
59776,0.0930780336961341
59799,0.0821522403111175
59822,0.0725129029162161
59825,0.0640310694144901
59871,0.0564981221209564
59994,0.0497878045218485
60013,0.0439694190542852
60037,0.0388292424549839
60079,0.0342807966626459
60088,0.0302861723645869
60191,0.0267122550140648
60198,0.0236066867597344
60338,0.0208124077132652
60384,0.0183861753699439
60422,0.0162469016775297
60477,0.014353397600658
60497,0.0126902757542453
60503,0.0112232415666469
60521,0.0099237798342493
60549,0.00877355359261855
60576,0.0077572993847177
60656,0.00685258763886409
60716,0.00605673195905965
60786,0.00535308528895939
61163,0.00470544849304133
61334,0.00415542633679777
61481,0.00367277298433777
61593,0.00324938703359123
61605,0.00288088041122592
61663,0.0025520658046112
61710,0.00226154860390437
61771,0.00200380366111119
62035,0.00176900199869223
62195,0.00156569050390232
62202,0.00139022519116949
62204,0.00123455959220209
62341,0.00109356772075486
62436,0.000969747193522608
62463,0.000861233384668481
62521,0.000764466005119147
62619,0.000678153466481035
62673,0.000602220973657808
62748,0.000534646554680052
62795,0.000474987830944684
62902,0.000421555043740085
62917,0.000374876531385127
62930,0.000333390984994963
62997,0.000296203121433081
63016,0.000263443349940218
63119,0.000233945019285642
63177,0.000207976500934848
63323,0.000184606816894473
63398,0.000164139663933582
63446,0.000146042076224262
63450,0.000130063291408078
63544,0.200741541161758
63586,0.178689343871472
63774,0.158631961481305
63786,0.14136221505299
63877,0.125785639180723
64013,0.111852237000889
64048,0.0996866447861287
64198,0.0886550539020519
64251,0.0790189636290641
64284,0.0704660411002429
64322,0.0628376165263802
64356,0.0560442753208115
64519,0.0498647549289153
64584,0.0444674643217162
64697,0.271147775218875
64710,0.242142600418063
64736,0.216192088057426
64823,0.192805556158966
64853,0.17217406626969
64894,0.153728010644492
64904,0.137354065429211
64917,0.122719818298854
64946,0.109613885872847
65005,0.0978569061865429
65109,0.360359855299546
65130,0.322067910485341
65224,0.287448168979697
65273,0.256831157531337
65366,0.229303216796673
65372,0.205119171470095
65503,0.385803960390405
65568,0.344823005592122
65575,0.308597632221009
65625,0.275944619204381
65648,0.246906201451601
65663,0.239568086165065
65670,0.21444398704617
65678,0.191954026484041
65761,0.171448258654049
65836,0.153296763166487
65894,0.223825513818039
65987,0.219768583566339
66187,0.196016273770283
66274,0.175391999305155
66302,0.157153145065813
66341,0.140789124904416
66395,0.125466327466292
66505,0.112266587782369
66639,0.100432310239785
66738,0.0899356204044963
66773,0.0802166456604532
66826,0.0719047380010061
66908,0.064438789098169
66918,0.121655102673849
67081,0.108868694394321
67096,0.0977527691502544
67276,0.0874833616933373
67306,0.0785620304642123
67380,0.0704925721233991
67503,0.0631997985189976
67524,0.0567944159221518
67537,0.0510489322811409
67577,0.0458609272088921
67590,0.0412264649988501
67667,0.0370133338650547
67892,0.033136589855804
68073,0.0297072843657666
68088,0.0267341465943325
68122,0.0240500401626491
68248,0.0215963848400946
68307,0.0194251594823811
68435,0.0174498092530371
68438,0.0157201180171143
68576,0.0141227370486554
68605,0.0127200771430047
68622,0.0114603056691962
68655,0.0103222924888691
68692,0.00929720659258848
68719,0.00837634136923882
68729,0.00754978909329651
68738,0.00680509190467049
68874,0.00611791423128594
68935,0.00551032567959098
